"SEQ","JFAGY code","Allergen Term（JP）","Furigana（JP）","Allergen Term（EN）","Level","Main 100","Clinical Guideline","変更区分","収載日","終了日"
"65","GCM1139003C1ZZZ","【成分名】クロナゼパム","","","1","","","1","00000000","99999999"
"66","GCM1139004C1ZZZ","【成分名】バルプロ酸ナトリウム","","","1","","","1","00000000","99999999"
"67","GCM1139005B1ZZZ","【成分名】ゾニサミド","","","1","","","1","00000000","99999999"
"68","GCM1139006C1ZZZ","【成分名】クロバザム","","","1","","","1","00000000","99999999"
"69","GCM1139007F1ZZZ","【成分名】ガバペンチン","","","1","","","1","00000000","99999999"
"70","GCM1139008C1ZZZ","【成分名】トピラマート","","","1","","","1","00000000","99999999"
"71","GCM1139009F1ZZZ","【成分名】ラモトリギン","","","1","","","1","00000000","99999999"
"72","GCM1139010F1ZZZ","【成分名】レベチラセタム","","","1","","","1","00000000","99999999"
"73","GCM1139011M1ZZZ","【成分名】スチリペントール","","","1","","","1","00000000","99999999"
"74","GCM1139012F1ZZZ","【成分名】ルフィナミド","","","1","","","1","00000000","99999999"
"75","GCM1139013B1ZZZ","【成分名】ビガバトリン","","","1","","","1","00000000","99999999"
"76","GCM1139014C1ZZZ","【成分名】ペランパネル水和物","","","1","","","1","00000000","99999999"
"77","GCM1139015F1ZZZ","【成分名】ラコサミド","","","1","","","1","00000000","99999999"
"78","GCM1139016S1ZZZ","【成分名】フェンフルラミン塩酸塩","","","1","","","1","00000000","99999999"
"79","GCM1139017F1ZZZ","【成分名】ブリーバラセタム","","","1","","","1","00000000","99999999"
"80","GCM1139100F1ZZZ","【成分名】フェニトイン・フェノバルビタール","","","1","","","1","00000000","99999999"
"81","GCM1139103X1ZZZ","【成分名】フェニトイン・フェノバルビタール配合剤","","","1","","","1","00000000","99999999"
"82","GCM1141001X1ZZZ","【成分名】アセトアミノフェン","","","1","","","1","00000000","99999999"
"83","GCM1141004F1ZZZ","【成分名】フルフェナム酸アルミニウム","","","1","","","1","00000000","99999999"
"84","GCM1141005B1ZZZ","【成分名】メフェナム酸","","","1","","","1","00000000","99999999"
"85","GCM1143001X1ZZZ","【成分名】アスピリン","","","1","","","1","00000000","99999999"
"86","GCM1143005X1ZZZ","【成分名】エテンザミド","","","1","","","1","00000000","99999999"
"87","GCM1143010F2ZZZ","【成分名】アスピリン・ダイアルミネート","","","1","","","1","00000000","99999999"
"88","GCM1143400A1ZZZ","【成分名】サリチル酸ナトリウム","","","1","","","1","00000000","99999999"
"89","GCM1144002X1ZZZ","【成分名】イソプロピルアンチピリン","","","1","","","1","00000000","99999999"
"90","GCM1144005X1ZZZ","【成分名】スルピリン水和物","","","1","","","1","00000000","99999999"
"91","GCM1144007X1ZZZ","【成分名】ミグレニン","","","1","","","1","00000000","99999999"
"92","GCM1145001M1ZZZ","【成分名】インドメタシン","","","1","","","1","00000000","99999999"
"93","GCM1145003F1ZZZ","【成分名】アセメタシン","","","1","","","1","00000000","99999999"
"94","GCM1145004F1ZZZ","【成分名】プログルメタシンマレイン酸塩","","","1","","","1","00000000","99999999"
"95","GCM1145005M1ZZZ","【成分名】インドメタシン　ファルネシル","","","1","","","1","00000000","99999999"
"96","GCM1147002F1ZZZ","【成分名】ジクロフェナクナトリウム","","","1","","","1","00000000","99999999"
"97","GCM1148001F1ZZZ","【成分名】チアラミド塩酸塩","","","1","","","1","00000000","99999999"
"98","GCM1149001D1ZZZ","【成分名】イブプロフェン","","","1","","","1","00000000","99999999"
"99","GCM1149007F1ZZZ","【成分名】ナプロキセン","","","1","","","1","00000000","99999999"
"100","GCM1149009M1ZZZ","【成分名】ブコローム","","","1","","","1","00000000","99999999"
"101","GCM1149010F1ZZZ","【成分名】プラノプロフェン","","","1","","","1","00000000","99999999"
"102","GCM1149011D1ZZZ","【成分名】フルルビプロフェン","","","1","","","1","00000000","99999999"
"103","GCM1149013F1ZZZ","【成分名】ジメトチアジンメシル酸塩","","","1","","","1","00000000","99999999"
"104","GCM1149015F1ZZZ","【成分名】スリンダク","","","1","","","1","00000000","99999999"
"105","GCM1149017M1ZZZ","【成分名】ピロキシカム","","","1","","","1","00000000","99999999"
"106","GCM1149019C1ZZZ","【成分名】ロキソプロフェンナトリウム水和物","","","1","","","1","00000000","99999999"
"107","GCM1149020F1ZZZ","【成分名】ロベンザリット二ナトリウム","","","1","","","1","00000000","99999999"
"108","GCM1149023F1ZZZ","【成分名】ワクシニアウイルス接種家兎炎症皮膚抽出液","","","1","","","1","00000000","99999999"
"109","GCM1149025F1ZZZ","【成分名】チアプロフェン酸","","","1","","","1","00000000","99999999"
"110","GCM1149026F1ZZZ","【成分名】オキサプロジン","","","1","","","1","00000000","99999999"
"111","GCM1149027F1ZZZ","【成分名】ナブメトン","","","1","","","1","00000000","99999999"
"112","GCM1149029F1ZZZ","【成分名】ザルトプロフェン","","","1","","","1","00000000","99999999"
"113","GCM1149030M1ZZZ","【成分名】アンピロキシカム","","","1","","","1","00000000","99999999"
"114","GCM1149031F1ZZZ","【成分名】アクタリット","","","1","","","1","00000000","99999999"
"115","GCM1149032F1ZZZ","【成分名】エトドラク","","","1","","","1","00000000","99999999"
"116","GCM1149033F1ZZZ","【成分名】モフェゾラク","","","1","","","1","00000000","99999999"
"117","GCM1149034F1ZZZ","【成分名】塩酸ペンタゾシン","","","1","","","1","00000000","99999999"
"118","GCM1149035F1ZZZ","【成分名】メロキシカム","","","1","","","1","00000000","99999999"
"119","GCM1149036F1ZZZ","【成分名】ロルノキシカム","","","1","","","1","00000000","99999999"
"120","GCM1149037F1ZZZ","【成分名】セレコキシブ","","","1","","","1","00000000","99999999"
"121","GCM1149038F1ZZZ","【成分名】トラマドール塩酸塩","","","1","","","1","00000000","99999999"
"122","GCM1149108D1ZZZ","【成分名】シメトリド・無水カフェイン","","","1","","","1","00000000","99999999"
"123","GCM1149109F1ZZZ","【成分名】エルゴタミン酒石酸塩・無水カフェイン配合剤","","","1","","","1","00000000","99999999"
"124","GCM1149116D1ZZZ","【成分名】ピラゾロン系解熱鎮痛消炎配合剤","","","1","","","1","00000000","99999999"
"125","GCM1149117F1ZZZ","【成分名】トラマドール塩酸塩・アセトアミノフェン","","","1","","","1","00000000","99999999"
"126","GCM1149401A1ZZZ","【成分名】ペンタゾシン","","","1","","","1","00000000","99999999"
"127","GCM1149402A1ZZZ","【成分名】ケトプロフェン","","","1","","","1","00000000","99999999"
"128","GCM1149403A1ZZZ","【成分名】ブプレノルフィン塩酸塩","","","1","","","1","00000000","99999999"
"129","GCM1149405A1ZZZ","【成分名】エプタゾシン臭化水素酸塩","","","1","","","1","00000000","99999999"
"130","GCM1149407A1ZZZ","【成分名】フルルビプロフェンアキセチル","","","1","","","1","00000000","99999999"
